id,course_title,course_organization,course_certificate_type,course_rating,course_difficulty,course_students_enrolled,course_tag
735,Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4.1k,Academic;Introductory
659,"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4,Intermediate,13k,Machine Learning;Introductory
557,Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,72k,Introductory
428,Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,87k,Design;Introductory
744,Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16k,Academic;Introductory
625,Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner,76k,Academic;Web Development;Introductory
194,Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110k,Johns Hopkins University;Academic;Biology;Introductory
270,Introductory Human Physiology,Duke University,COURSE,4.7,Mixed,270k,Academic
741,Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4.5k,iOS
866,Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120k,Python;Art
80,Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,99k,Academic;Management;Investment
147,Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14k,Python;Machine Learning;Management;Investment
195,Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49k,Academic;Management;Investment
639,Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner,4.4k,Academic
45,Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,380k,Academic;Programming;Java;Engineering
518,Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,160k,Academic;Programming;Java
586,Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22k,Academic;Programming
546,Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37k,Java
516,L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8k,Online Learning
750,"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6.3k,Finance
654,Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,17k,Academic;Leadership
577,Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,34k,Leadership
656,Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner,16k,Academic;Health
61,Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220k,Academic
755,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5.9k,Academic
433,Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16k,Academic;Management;Leadership
155,Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43k,Academic;Chinese
786,Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22k,Academic;English
394,Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78k,Academic;English;Advanced Content
271,Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52k,Academic;English;Advanced Content
172,Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120k,Academic;English
360,Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39k,Academic;Chinese
74,Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160k,Academic;SQL;Data Science;Science;Introductory
112,Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80k,Academic;Spanish
260,Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,180k,Academic
311,Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,120k,Academic
90,Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68k,Academic
839,Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7.2k,Art
541,Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10k,Online Learning
699,Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23k,Online Learning
843,Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,29k,Online Learning
769,Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,14k,Stanford University;Academic;Top University
181,Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate,290k,Academic;Machine Learning
6,Machine Learning,Stanford University,COURSE,4.9,Mixed,3.2m,Stanford University;Academic;Top University;Machine Learning
831,Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Mixed,240k,Academic;Machine Learning
352,Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,29k,Academic;Machine Learning;Finance
